,title,company,salary,summary
138,Python Developer Flask API - MedTech,clientserver,"£70,000 - £80,000 a year","As a Python Developer you will collaborate with the tech lead, frontend developers, designers and the product manager to make key decisions to inform technical…"
139,Junior Front End Developer,Cado Security Ltd,"£35,000 - £45,000 a year",Designing and building the front-end of our products that have a focus on digital forensics and cloud technologies.Docker and Bitbucket Pipelines for CI.
140,Backend Developer (Python/Django),Bepro Company,"£37,527 - £90,487 a year","As backend developer, you will be responsible for Bepro backend API system which has been built based on Python language and Django framework by closely working…"
141,newPython Developer - Remote,clientserver,"£70,000 - £80,000 a year","You'll get involved with projects across the platform collaborating remotely with cross functional engineering teams, Data Scientists and business stakeholders."
142,Junior Python Developer,Answer Digital,,"NET, JavaScript and related technologies.Have a demonstrable thirst for learning (including self-learning) and forever have your eyes peeled for the next new…"
143,Django Developer,Tuli Health,"£30,000 - £60,000 a year",Tuli Health is a digital health platform that provides instant access to private medical appointments and testing.Improve functionality of existing systems.
144,newPython Developer Real-time Data SQL,clientserver,"£85,000 - £100,000 a year",Do you have expertise with Python and a data centric mindset?You could be joining a FinTech solutions provider as they expand their UK presence.
145,Python Developer,Bond McKenzie,"£45,000 - £65,000 a year",This new Python Developer role in the City is with a leading Asset Manager / Fund Manager.Developing new and enhancing current enterprise tools and…
146,newPython Developer,"JPMorgan Chase Bank, N.A.",,In order to deliver against these objectives there is a requirement for an integrated software solution to manage the end to end lifecycle of infrastructure…
147,newPython Developer,QuantSpark,"£40,000 - £50,000 a year",We go beyond the remit of traditional strategy consultancies by blending advanced data analytics and software engineering capabilities to build analytical tools…
148,newPython Developer,Origin Digital,"Up to £70,000 a year","Python developer that understands and demonstrates best practices when writing code.To understand requirements, follow best practices, and actively participate…"
149,newContractor : Python Developer,Cambridge Consultants Ltd,,We’re looking for experienced contractors to support us on developing a complex multi-element test and CI infrastructure.
